point,algorithm,time,coverage,length,rotation
2 - [  1.59000003 -12.5         -5.66468811],BAstar,300,98.76,5081,4116
2 - [  1.59000003 -12.5         -5.66468811],BAstar,310,98.76,5081,4116
2 - [  1.59000003 -12.5         -5.66468811],BAstar,320,98.76,5081,4116
2 - [  1.59000003 -12.5         -5.66468811],BAstar,330,98.76,5081,4116
2 - [  1.59000003 -12.5         -5.66468811],BAstar,340,98.76,5081,4116
2 - [  1.59000003 -12.5         -5.66468811],BAstar,350,98.76,5081,4116
2 - [  1.59000003 -12.5         -5.66468811],BAstar,360,98.76,5081,4116
2 - [  1.59000003 -12.5         -5.66468811],BAstar,370,98.76,5081,4116
2 - [  1.59000003 -12.5         -5.66468811],BAstar,380,98.76,5081,4116
2 - [  1.59000003 -12.5         -5.66468811],BAstar,390,98.76,5081,4116
2 - [  1.59000003 -12.5         -5.66468811],BAstar Variant,0,0,0,0
2 - [  1.59000003 -12.5         -5.66468811],BAstar Variant,10,26.54,1222,1930
2 - [  1.59000003 -12.5         -5.66468811],BAstar Variant,20,41.8,1876,3053
2 - [  1.59000003 -12.5         -5.66468811],BAstar Variant,30,58.6,2327,3706
2 - [  1.59000003 -12.5         -5.66468811],BAstar Variant,40,64.15,2662,4320
2 - [  1.59000003 -12.5         -5.66468811],BAstar Variant,50,65.48,2886,4623
2 - [  1.59000003 -12.5         -5.66468811],BAstar Variant,60,67.02,3095,4858
2 - [  1.59000003 -12.5         -5.66468811],BAstar Variant,70,71.31,3271,5064
2 - [  1.59000003 -12.5         -5.66468811],BAstar Variant,80,80.32,3496,5449
2 - [  1.59000003 -12.5         -5.66468811],BAstar Variant,90,84.83,3687,5708
2 - [  1.59000003 -12.5         -5.66468811],BAstar Variant,100,88.64,3871,5945
2 - [  1.59000003 -12.5         -5.66468811],BAstar Variant,110,91.68,4047,6201
2 - [  1.59000003 -12.5         -5.66468811],BAstar Variant,120,95.34,4223,6461
2 - [  1.59000003 -12.5         -5.66468811],BAstar Variant,130,98.5,4408,6809
2 - [  1.59000003 -12.5         -5.66468811],BAstar Variant,140,98.73,4575,6922
2 - [  1.59000003 -12.5         -5.66468811],BAstar Variant,150,98.75,4644,7007
2 - [  1.59000003 -12.5         -5.66468811],BAstar Variant,160,98.8,4738,7108
2 - [  1.59000003 -12.5         -5.66468811],BAstar Variant,170,98.85,4886,7173
