point,algorithm,time,coverage,length,rotation
5 - [-20.28000069   4.5         -5.51468706],BAstar,280,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,290,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,300,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,310,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,320,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,330,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,340,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,350,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,360,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,370,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,380,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,390,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,400,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,410,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,420,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,430,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,440,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,450,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,460,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,470,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,0,0,0,0
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,10,34.85,1061,947
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,20,56.14,1560,1385
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,30,63.72,1896,1652
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,40,67.51,2135,1904
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,50,77.71,2366,2117
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,60,85.38,2598,2357
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,70,90.54,2788,2550
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,80,96.44,3017,2723
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,90,97.6,3171,2877
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,100,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,110,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,120,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,130,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,140,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,150,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,160,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,170,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,180,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,190,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,200,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,210,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,220,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,230,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,240,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,250,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,260,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,270,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,280,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,290,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,300,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,310,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,320,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,330,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,340,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,350,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,360,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,370,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,380,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,390,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,400,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,410,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,420,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,430,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,440,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,450,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,460,97.69,3260,2918
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,470,97.69,3260,2918
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,0,0,0,0
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,10,32.39,996,1004
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,20,53.51,1451,1452
